Topic,Link,Title,Article
bankruptcy,https://www.cnbc.com/2022/06/16/cosmetics-giant-revlon-files-for-chapter-11-bankruptcy-protection.html,Cosmetics giant Revlon files for Chapter 11 bankruptcy protection,"Cosmetics giant Revlon filed for Chapter 11 bankruptcy protection on Wednesday evening as it grappled with a cumbersome debt load and a snarled supply chain.The company said it expects to receive $575 million in debtor-in-possession financing from its existing lender base, which will help to support its day-to-day operations.The filing ""will allow Revlon to offer our consumers the iconic products we have delivered for decades, while providing a clearer path for our future growth,"" Revlon President and Chief Executive Officer Debra Perelman said in a press release issued Thursday morning.""Our challenging capital structure has limited our ability to navigate macro-economic issues in order to meet this demand,"" Perelman added.Revlons bankruptcy filing said the company is currently unable to timely fill almost one-third of customer demand for its products, due to an inability to source a ""sufficient and regular supply of raw materials."" Shipping components from China to the United States takes Revlon eight to 12 weeks and costs four times 2019 prices, it said.Revlon is the first major consumer-facing business to file for bankruptcy protection in what has been a yearslong pause of distress in the retail sector. More than three dozen retailers filed for bankruptcy in 2020, marking an 11-year high, which experts say was an extensive and Covid pandemic-driven pull-forward of restructuring activity.Through May 31, S&P Global Market Intelligence tracked 143 bankruptcies, across all industries, so far this year, which is the slowest pace since at least 2010. S&P only tracked three retail bankruptcy filings over the same period, the lowest count in at least 12 years, it said.Now, however, as inflation rages, interest rates rise and consumers begin to pull back spending on discretionary items, experts predict more retail companies will be pressured to restructure. Particularly as many of these businesses grapple with ongoing supply chain challenges that have left them with the wrong inventories.The nail polish and lipstick maker, which is controlled by billionaire Ron Perelmans MacAndrews & Forbes, listed assets and liabilities between $1 billion and $10 billion, according to a filing with the U.S. Bankruptcy Court for the Southern District of New York.Revlon had long-term debt of $3.31 billion as of March 31, a securities filing shows. The companys market cap was nearly $123 million as of the close of trading Wednesday. Trading of Revlon shares was halted in Thursdays premarket session.In late 2020, as stuck-at-home consumers dramatically curtailed their spending on beauty items, Revlon narrowly avoided bankruptcy when enough bondholders took part in its debt restructuring program. The company had warned in early November of that year that it may be forced to file for Chapter 11 protection.Its sales of about $1.9 billion in 2020 were down 21% from 2019 levels. Though the business rebounded in 2021, Revlons revenue is still below pre-pandemic levels.Start-ups including Glossier, Kylie Jenners Kylie Cosmetics and Rihannas Fenty Beauty have also challenged Revlon as it vies for younger consumers dollars.Perelmans MacAndrews & Forbes acquired Revlon in a hostile takeover for about $1.8 billion in 1985. It went public 11 years later.The business grew over the years through acquisitions, including of Cotys Cutex business and Elizabeth Arden. In addition to its namesake makeup banner, its portfolio also includes Almay, American Crew and Britney Spears Fragrances.Revlon could use its time in bankruptcy proceedings to prune its portfolio, given it owns numerous brands, some of which are performing better than others, said David Silverman, a retail senior director at Fitch Ratings.""If executed effectively, Revlon could emerge from bankruptcy with a cleaner balance sheet and a better operating profile, improving longer term business prospects,"" Silverman said.PJT Partners is acting as financial advisor to Revlon, and Alvarez & Marsal is acting as restructuring advisor."
bankruptcy,https://www.cnbc.com/2022/06/13/ev-start-up-electric-last-mile-solutions-to-declare-bankruptcy.html,EV start-up Electric Last Mile Solutions plans to declare bankruptcy a year after going public,"The ELMS Urban Delivery, anticipated to launch later this year, is expected to be the first Class 1 commercial electric vehicle available in the U.S. market and will be produced at the Companys facility in Mishawaka, Indiana.EV start-up Electric Last Mile Solutions said late Sunday it plans to file for bankruptcy less than a year after it went public via a merger with a special purpose acquisition company.The Michigan-based maker of electric commercial vans said in a release that interim CEO Shauna McIntyre and its board of directors decided on Sunday to file for Chapter 7 bankruptcy protection, which will allow it to liquidate its assets, after a ""comprehensive review of the companys products and commercialization plans"" turned up no better option for stakeholders.ELMS public offering, in late June 2021, came amid a wave of SPAC deals that took EV makers public. The company is the first of those post-SPAC EV makers to say that it will declare bankruptcy.McIntyre has served as interim chief executive since February, when founder and Chairman Jason Luo and then-CEO Jim Taylor left the struggling start-up after an internal investigation found that the companys past financial statements were unreliable.ELMS said in a statement that those executive departures, and a related investigation by the Securities and Exchange Commission, had made it ""extremely challenging"" to secure additional funding."
bankruptcy,https://www.cnbc.com/2021/05/11/barnes-noble-owner-buys-stationery-retailer-paper-source-out-of-bankruptcy.html,Barnes & Noble owner buys stationery retailer Paper Source out of bankruptcy,"The Paper Source store with its Easter display is shown closed on Boylston Street on April 08, 2020 in Boston, Massachusetts.Elliott Investment Management, the owner of Barnes & Noble, said Tuesday it will acquire gift and stationery retailer Paper Source.The acquisition will provide Paper Source with the funding it needs to emerge from Chapter 11 bankruptcy.Barnes & Noble CEO James Daunt will oversee both companies. While the two businesses plan to operate independently, it hinted at possible partnerships in the future.""With Paper Sources management team, we will support and accelerate the brands strategic growth initiatives. Alongside this, the opportunities for Paper Source to work with Barnes & Noble are tremendously exciting for both businesses,"" Daunt said in a press release.Paper Source plans to operate 130 stores in the U.S. as well as its website and wholesale division, Waste Not Paper by Paper Source.The stationery chain filed for bankruptcy on March 2 and was forced to close stores, cut jobs and reduce the pay of senior managers. Like many retailers, Paper Sources sales fell last year due to Covid pandemic shutdowns, capacity restrictions, and a wave of canceled weddings and events hurt sales of invitations.Paper Source had purchased 30 new stores from its competitor Papyrus just weeks before the pandemic hit in March 2020.At the time of its bankruptcy filing, Paper Source had 1,700 employees, 158 stores, and $100 million in debt and leases that cost $36 million annually, according to NBC News."
bankruptcy,https://www.reuters.com/business/aerospace-defense/sas-applies-chapter-11-united-states-2022-07-05/,Airline SAS clashes with striking pilots over U.S. bankruptcy filing,"SummarySummary Companies Airline files for Chapter 11 in the United StatesFiling comes after pilot strike began on MondayCompany says strike accelerated bankruptcy filingAttempts to blame staff ""beneath contempt"" -unionStrike grounding roughly half of airlines flightsSTOCKHOLM, July 5 (Reuters) - Scandinavian airline SAS (SAS.ST) has filed for bankruptcy protection in the United States to help cut debt, it said on Tuesday, piling pressure on striking pilots it blames for deepening its financial woes and sending its shares down 10%.Wage talks between SAS and its pilots collapsed on Monday, triggering a strike that adds to travel chaos across Europe as the peak summer travel season shifts into full gear.Chief Executive Anko van der Werff said the strike had accelerated its decision to file for Chapter 11 status. But the negotiator for SAS Danish pilots said the scope of the filing showed it had been months in the making and called attempts to blame striking staff for triggering it ""beneath contempt"".Register now for FREE unlimited access to Reuters.com RegisterThe airline, whose biggest owners are Swedish and Danish taxpayers, said that the strike would have ""a negative impact on the liquidity and financial position of the company and, if prolonged, such impact could become material"".The strike will cost it $10 million to $13 million per day, the company said in its court filing. Sydbank analysts estimated, in a worst-case scenario, it could erase up to half of its cash flow in the initial four to five weeks alone.""The pilots may well consider themselves pieces in the puzzle that legalizes the managements Chapter 11 request, and its doubtful whether it will bring them back to the negotiating table,"" Sydbank analyst Jacob Pedersen said.""On the other hand, the Chapter 11 request also shows how serious the situation is for SAS.""Entering Chapter 11 would make it easier for the company to lay off employees, experts say.Swedish Airline Pilots Association Chairman Martin Lindgren said his members had seen it as inevitable the airline would need to embark on a ""reconstruction"".""It does not affect the strike or our agreements,"" he said.The airline said the U.S. bankruptcy protection filing was aimed at accelerating a restructuring plan announced in February.""SAS aims to reach agreements with key stakeholders, restructure the companys debt obligations, reconfigure its aircraft fleet, and emerge with a significant capital injection,"" it said.TALKS WITH LENDERSView of SAS Airbus A321 and A320neo aircraft at Kastrup Airport parked on the tarmac, after pilots of Scandinavian Airlines went on strike, in Kastrup, Denmark July 4, 2022. TT News Agency/Johan Nilsson via REUTERSSAS said discussions with lenders regarding another $700 million of financing were ""well advanced"".The strike is grounding roughly half the airlines flights, affecting some 30,000 passengers per day, it said.Data from flight tracking website FlightAware showed 232 SAS flights - 77% of those scheduled - had been cancelled on Tuesday, while Oslos Gardermoen airport, one of SAS hubs, had the world’s highest cancellation rate on the day.SAS expects to complete the Chapter 11 process in nine to 12 months, it added. SAS shares can be traded as normal during the bankruptcy proceedings.Wallenberg Investments, SASs third biggest shareholder with a 3.4% stake, said it supported the decision and would allow for talks to continue to make the airline competitive.""For decades, SAS has had too-high costs and too-low productivity compared to its rivals,"" it said.SAS needs to attract new investors and has said to do that it must slash costs across the company, including for leased planes that stand idle because of closed Russian airspace and a slow recovery in Asia. read moreIts finance chief Erno Hilden said in the court filing the airline had so far been unable to renegotiate lease terms, many of which it said were ""significantly above"" market rates.SAS had three bonds outstanding , , with a total face value of 5.4 billion Swedish crowns ($519 million). They now trade at deeply distressed levels of around one-third of face value.The airline predicted its cash balance of 7.8 billion Swedish crowns was sufficient to meet its business obligations in the near term.Swedens government has said no to injecting more cash into the carrier, while Copenhagen has said it may do so if SAS is able attract new investors.Nordnet analyst Per Hansen said the U.S. application showed SAS needs a fresh start and that it thinks the strike will drag on. ""Management and the board want to make it absolutely clear for all stakeholders that the situation is very serious.""($1 = 10.3216 Swedish crowns)Register now for FREE unlimited access to Reuters.com RegisterAdditional reporting by Johan Ahlander in Stockholm, Essi Lehto in Helsinki, Victoria Klesty in Oslo, Agata Rybska in Gdansk, Jamie Freed in Sydney and Karin Strohecker in London; Writing by Niklas Pollard; Editing by Matt Scuffham, Jan Harvey and Emelia Sithole-MatariseOur Standards: The Thomson Reuters Trust Principles."
bankruptcy,https://www.bloomberg.com/news/articles/2022-07-05/scandinavia-s-largest-airline-files-for-bankruptcy-to-cut-debt,Elon Musk says he's worried about keeping Tesla out of bankruptcy,"faces billions of dollars in losses from its new plants, supply chain problems and Covid lockdowns — enough for chief executive officer to mention the possibility of .""The past two years have been an absolute nightmare of supply chain interruptions, one thing after another,"" Musk said in an interview with a owners group. ""Were not out of it yet. Thats overwhelmingly our concern is how do we keep the factories operating so we can pay people and not go bankrupt.""Musk engaged in hyperbole elsewhere in the interview, and he may have been doing so when mentioning the risk of . For example, he said that automakers in general ""desperately want to go bankrupt,"" which falls in the category of colorful language rather than strict financial analysis.Teslas factory in Shanghai was shut for weeks due to Covid related lockdowns in the city. And Musk disclosed in the interview that the two factories opened in the quarter, in Germany and Texas, are costing the company billions of dollars in losses because supply chain issues have left them with ""puny"" output so far.""This is all going to get fixed real fast,"" he said in comments recorded on May 31, but not released until late Wednesday. ""Both Berlin and Austin factories are gigantic money furnaces right now. Theres a giant roaring sound which is the sound of money on fire. Bigger than a dumpster [fire]. A dumpster is too small. Berlin and Austin are losing billions of dollars right now. Theres a ton of expense and hardly any output."""
bankruptcy,https://www.business-standard.com/article/international/elon-musk-says-he-s-worried-about-keeping-tesla-out-of-bankruptcy-122062401267_1.html,Tropical Aquaculture files for chapter 7 bankruptcy,"Tropical Aquaculture files for chapter 7 bankruptcyRutland, Vermont, U.S.A., and Rockland, Maine, U.S.A.-based Tropical Aquaculture Products has filed for chapter 7 bankruptcy in the U.S. Bankruptcy Court for the district of Delaware.The filing means the company has officially ceased all operations, and its assets will be sold off in order to compensate its creditors. According to the bankruptcy filing, the company is claiming assets of USD 1.07 million (EUR 1.04 million), and liabilities of over USD 1.78 million (EUR 1.73 million).Tropical Aquaculture was purchased in February 2020 by São Paulo, Brazil-based GeneSeas. Prior to its bankruptcy filing, the company listed itself as being involved in seafood sales, distribution, and marketing and was of the first companies in the U.S. to import fresh, premium tilapia.According to the bankruptcy documents, Tropical Aquaculture earned gross revenues of just over USD 36 million (EUR 35.1 million) in 2020. Then, in 2021, that number fell to USD 21.8 million (EUR 21.2 million), and so far in 2022, it has only earned USD 8.3 million (EUR 8.1 million).In its bankruptcy filings, Tropical Aquaculture indicated it has only USD 3,553 (EUR 3,468) in cash or cash equivalents on hand. It also states that it is owed over USD 1 million (EUR 976,000) by customers.According to the filings, the company had a number of creditors with unsecured claims, and one with a secured claim. North Mill Capital LLC. has a secured claim against Tropical Aquaculture of USD 733,896 (EUR 716,509), and the value of the collateral supporting its secured claim is USD 1.16 million (EUR 1.13 million).The creditors with the three largest unsecured claims are GeneSeas Aquacultura – the company that purchased Tropical – which is owed USD 506,724 (EUR 494,736); Aquaserena, which is owed USD 247,593 (EUR 241,735); and Industrial Pesquera Santa Priscila, owed USD 224,012 (EUR 218,712). The total of all the unsecured claims is USD 1.05 million (EUR 1.03 million).Tropical Aquacultures founder and former president, John Schramm, told SeafoodSource he could not comment on the bankruptcy proceedings.According to the bankruptcy filing, the decision to file for chapter 7 bankruptcy was made by the company’s board, and Tropical Aquaculture Board Member Axel Verstraeten will, “on behalf of Tropical Aquaculture,” retain the law firm Gellert Scali Busenkell and Brown as bankruptcy council."
bankruptcy,https://www.seafoodsource.com/news/business-finance/tropical-aquaculture-files-for-chapter-7-bankruptcy,"Dallas-based Corsicana Mattress files for bankruptcy, with buyer lined up to take over","Dallas-based manufacturer Corsicana Mattress Co. has filed a Chapter 11 bankruptcy reorganization and said it has a buyer lined up for its business.CEO Eric Rhea said the company voluntarily filed for bankruptcy to help it restructure operations, including efforts to “renegotiate agreements, flatten our organization and drive greater efficiency.”The mattress business has become more competitive in recent years. It was dominated by major manufacturers for decades until new materials and technology allowed for a mattress to be shipped in a box directly to consumers by new internet-based retailers such as Casper, Purple, Nectar and Avocado. Corsicana also sells shippable mattresses under the brand Luuf.The company was founded in 1971 in Corsicana and operates 10 factories in the U.S. employing 865 full-time employees and 58 contract workers. Its mattresses are sold by retailers under the multiple brand names, including American Bedding, Early Bird and SleepInc.After it bought Richmond, Va.-based Symbol Mattress last year, Corsicana Mattress became the largest U.S. manufacturer of mattresses that retail under $3,000.Blue Torch Finance LLC said it is providing financing for Corsicana to operate during the reorganization and has agreed to buy the company. There will be a bankruptcy court-supervised auction and sale process. Another company could end up with Corsicana, but Blue Torch has said it will be a bidder.The company filed in the Northern District of Texas in Fort Worth. Mike Juniper of Dallas-based turnaround firm CR3 Partmers was appointed chief restructuring officer.The company said it has assets of $151 million and liabilities of $260 million. Its largest unsecured creditor is UFP Southwest, which operates locally as Bigs Packaging and Lumber, and is owed $4.94 million.Twitter: @MariaHalkiasLooking for more retail coverage? Click here to read all retail news and updates. Click here to subscribe to D-FW Retail and more newsletters from The Dallas Morning News."
bankruptcy,https://www.dallasnews.com/business/retail/2022/06/27/corsicana-mattress-files-for-chapter-11-reorganization/,"Corsicana Mattress files for bankruptcy, buyer lined up","Weather Alert...HEAT ADVISORY REMAINS IN EFFECT UNTIL 9 PM CDT THIS EVENING... * WHAT...Heat index values up to 107. * WHERE...Portions of east central Texas. * WHEN...Until 9 PM CDT this evening. * IMPACTS...Hot temperatures and high humidity will increase the risk for heat-related illnesses to occur, particularly for those working or participating in outdoor activities. PRECAUTIONARY/PREPAREDNESS ACTIONS... Drink plenty of fluids, stay in an air-conditioned room, stay out of the sun, and check up on relatives and neighbors. Young children and pets should never be left unattended in vehicles under any circumstances. Take extra precautions if you work or spend time outside. When possible reschedule strenuous activities to early morning or evening. Know the signs and symptoms of heat exhaustion and heat stroke. Wear lightweight and loose fitting clothing when possible. To reduce risk during outdoor work, the Occupational Safety and Health Administration recommends scheduling frequent rest breaks in shaded or air conditioned environments. Anyone overcome by heat should be moved to a cool and shaded location. Heat stroke is an emergency! Call 9 1 1. &&"
bankruptcy,https://www.corsicanadailysun.com/news/corsicana-mattress-files-for-bankruptcy-buyer-lined-up/article_53f9945e-f711-11ec-8d59-bb354e785e4e.html,Judge approves $21M settlement in LeClairRyan bankruptcy dispute,"One of the most high-profile disputes triggered by the bankruptcy of collapsed Richmond law firm LeClairRyan has been officially resolved.Judge Kevin Huennekens last week formally approved a $21 million settlement that puts to rest the litigation between the LeClairRyan bankruptcy estate and legal services giant UnitedLex.The settlement, which was first presented to the court in April and has since been awaiting memorialization by the judge, calls for the settlement funds to come from several sources.The largest chunk would be $12.3 million in insurance proceeds from a policy through insurer CNA that covered UnitedLex.Another $8.3 million would come directly from UnitedLex and its private equity backer CVC Capital Partners, which had also been sued by the trustee. An additional $500,000 would come from another insurance policy from Travelers Insurance Co.The insurers are to pay the entirety of their tab upon closing of the settlement, while UnitedLex and CVC would pay in installments, beginning with $2 million up front. They’d then pay an additional $3 million a year later and a final installment of $3.3 million a year after that. The installments would be secured by a letter of credit.The settlement ends the legal wrangling that began with trustee Lynn Tavenner suing UnitedLex in 2020, seeking $128 million in damages, claiming the company wrongfully benefited from LeClairRyan’s demise through their failed ULX Partners joint venture.ULX Partners was formed by UnitedLex and LeClairRyan in 2019, just prior to the law firm’s demise that same year. ULX was a back-office job outsourcing effort billed at the time as an innovative cost-cutting approach, but is now seen as having had a hand in LeClairRyan’s undoing. Tavenner had alleged that ULX was a conspiracy to siphon millions out of the 30-year-old law firm as it was teetering toward collapse.The settlement was an eleventh-hour agreement reached by both sides in April after a testy mediation and just weeks before the case was to go to trial. It also allows all involved to walk away without admitting fault or liability and calls for the defendants to withdraw any creditor claims it has against the estate.The settlement, which was crafted by mediator Frank Santoro, a seasoned bankruptcy judge from Hampton Roads, also includes $3.2 million for law firm Quinn Emanuel, the trustee’s counsel, for a so-called “improvident payment.”Details regarding the need for the improvident payment are minimal in court records from the case, much of which have been redacted in recent weeks at the request of the defendants.The payment was described at a hearing in April as an “equalizer,” due to the case — and particularly the dispute with UnitedLex — becoming more involved and time-consuming than expected.The payment to the law firm was disputed by the U.S. Trustee’s Office, which argued it would provide Quinn Emanuel with an “improper windfall,” in light of a 35 percent contingency fee that was also built into the agreement for the law firm.Huennekens disagreed, stating in his June 28 opinion that, “The court has found that the improvident payment is specifically warranted under the unique — and hopefully unrepeatable — facts and circumstances of this bankruptcy case and these adversary proceedings.”Huennekens did rule that the 35 percent contingency should be calculated after subtracting the improvident payment and other certain expenses from the total settlement.The opinion includes numerous redacted passages, a result of the defendants successfully requesting the sealing of certain documents and details in the case.The ULX settlement is the latest multimillion-dollar settlement for the LeClairRyan estate. The firm’s namesake and longtime CEO Gary LeClair had been a defendant in the same UnitedLex case but was released from the matter after reaching a $10 million settlement with the estate in late 2021. Other former insiders from the law firm were also part of the settlement, which was funded by insurance proceeds.The overall LeClairRyan bankruptcy case remains ongoing."
bankruptcy,https://richmondbizsense.com/2022/07/05/judge-approves-21m-settlement-in-leclairryan-bankruptcy-dispute/,Celsius brings in new lawyers who are ‘more receptive’ to plans to avoid bankruptcy,"Celsius has replaced its legal advisers after clashing with them over how to navigate the financial turmoil brought on by the recent crypto crash.The embattled crypto lender hired new counsel from Kirkland & Ellis to advise on a possible restructuring after tensions emerged with former lawyers Akin Gump Strauss Hauer & Feld, according to a person familiar with the matter.Celsius..."
bankruptcy,https://www.fnlondon.com/articles/celsius-restructuring-akin-gump-kirkland-20220711,Design Firm Page Buys Assets of Bankrupt EYP Group,"Architect-engineer Page is buying the assets of bankrupt EYP Group Holdings, the companies announced. The $70.4-million acquisition substantially increases the size of Page, previously known as Page Southerland Page, adding EYP Groups 500 employees to the parents 800.Based in Washington, D.C.,Page submitted a successful bid for EYP Groups assets June 22 and opened a $50-million revolving line of credit from Bank of America to help finance the acquisition, bankruptcy court documents show.EYP Group, based in Albany, N.Y., filed in April for protection from its creditors in federal bankruptcy court in Delaware. The practice was embroiled in lawsuits by former staff and managers who either had shares in the employee stock ownership trust or accepted notes in lieu of shares. Soon after its ESOP, which replaced financing provided in 2011 by a private equity investor, EYP Group ran into financial trouble.At about the same time or shortly after the ESOP closing, the firm became entangled in a New York State scandal known as the ""Buffalo Billions.""Former CEO and EYP Founder Tom Birdsey became a potential witness in a contract-steering probe involving associates of former New York Gov. Andrew Cuomo and Alain Kaloyeros, former president of SUNY Polytechnic University.Kaloyeros and other executives were convicted of wire fraud and are appealing to the US Supreme Court, which recently agreed to hear the case. EYP Group, which was not charged with wrongdoing, designed a new building at the university in Albany and leased space in it.EYP Group collectively owed $139 million to 111 note holders, including many who are former managers and employees who either held stock or accepted promissory notes.According to Page CEO Thomas McCarthy, EYP staff and retirees ""do get cash"" from the acquisition although they must individually settle their claims with the bankruptcy court judge.An attorney for the former staff and retirees could not immediately be reached for comment.With a website that currently lists over 100 open positions at the firm, Page now sees even more opportunities at the company.""We’re bringing the most compelling, innovative designs and expertise to each project we pursue regardless of scope or location, and we’ll be able to invest in research and thought leadership to co-create with our clients,” said McCarthy, in a statement."
